SeasonID,SeasonNumber,TVShowID,StoryLine,Rating ,Release Date
17,5,17,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",1,01/05/07
18,3,7,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",2,10/05/07
19,4,8,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",3,11/01/04
20,8,9,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",4,11/01/04
21,5,10,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",5,03/06/10
22,2,11,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",6,05/26/10
23,1,12,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",7,11/12/98
24,2,13,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",8,11/04/99
25,3,14,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",5,05/02/03
26,5,15,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",6,05/12/02
27,2,16,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",7,10/04/01
28,4,17,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",8,11/04/01
29,2,7,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",9,10/12/12
30,2,8,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",10,10/11/12
31,1,9,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",8,01/02/11
32,2,10,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",9,11/01/11
33,3,11,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",10,01/06/14
34,1,12,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",8,01/01/14
35,2,13,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",9,06/09/14
36,3,14,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",10,06/09/14
37,1,15,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",8,01/01/10
38,2,16,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",9,02/01/10
39,4,17,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",10,05/05/08
40,2,17,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",8,07/05/08
